,Unnamed: 0,GameType,GameID,Date,PlayerID,Player,Position,Team,Opponent,Venue,Starter,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS,Usage,Rest,bonus,PlayerFP,GameFP/36,TeamFP,Status,GP,TOTfp,TOTmin,FPperMIN,expFP,delta,MPG,teamperc,percavg,rollingMin
0,0,NBA 2020-2021 Regular Season,22000001,12/22/2020,203952,Andrew Wiggins,F,Golden State,Brooklyn,R,1,31.23,4,16,2,6,3,4,0,2,2,1,4,0,4,1,13,26.31,3+,0.0,18.0,20.7,221.25,1.0,32,980.0,1037.25,0.94,29.4,-11.4,32.4,0.0813559322033898,,
1,1,NBA 2020-2021 Regular Season,22000001,12/22/2020,1629672,Eric Paschall,F,Golden State,Brooklyn,R,1,21.55,2,6,1,1,1,2,1,0,1,0,1,0,0,1,6,12.05,3+,0.0,9.75,16.3,221.25,0.07,29,481.75,516.5200000000002,0.93,20.0,-10.25,17.8,0.0440677966101694,,
2,2,NBA 2020-2021 Regular Season,22000001,12/22/2020,1630164,James Wiseman,C,Golden State,Brooklyn,R,1,24.28,7,13,1,1,4,8,1,5,6,0,2,2,1,0,19,27.25,3+,0.0,30.5,45.2,221.25,0.76,21,492.5,434.33,1.13,27.4,3.1000000000000014,20.7,0.1378531073446327,,
3,3,NBA 2020-2021 Regular Season,22000001,12/22/2020,1626162,Kelly Oubre Jr.,F-G,Golden State,Brooklyn,R,1,25.65,3,14,0,6,0,0,4,3,7,2,1,1,3,2,6,25.02,3+,0.0,22.25,31.2,221.25,1.0,32,932.5,962.75,0.97,24.9,-2.6499999999999986,30.1,0.1005649717514124,,
4,4,NBA 2020-2021 Regular Season,22000001,12/22/2020,201939,Stephen Curry,G,Golden State,Brooklyn,R,1,30.32,7,21,2,10,4,4,3,1,4,10,1,2,3,0,20,32.08,3+,4.5,48.0,57.0,221.25,1.0,31,1564.5,1060.26,1.48,44.9,3.1000000000000014,34.2,0.2169491525423728,,
5,5,NBA 2020-2021 Regular Season,22000001,12/22/2020,1626172,Kevon Looney,F,Golden State,Brooklyn,R,0,11.28,2,4,0,0,0,1,0,2,2,0,3,0,2,0,4,21.56,3+,0.0,5.5,17.6,221.25,0.27,22,278.25,327.73,0.85,9.6,-4.1,14.9,0.0248587570621468,,
6,6,NBA 2020-2021 Regular Season,22000001,12/22/2020,203145,Kent Bazemore,G-F,Golden State,Brooklyn,R,0,11.58,1,2,0,1,0,0,0,2,2,2,3,1,2,0,2,13.04,3+,0.0,8.5,26.4,221.25,0.0,30,480.0,505.64,0.95,11.0,-2.5,16.9,0.0384180790960452,,
7,7,NBA 2020-2021 Regular Season,22000001,12/22/2020,1627814,Damion Lee,G-F,Golden State,Brooklyn,R,0,12.23,1,2,1,1,0,0,1,6,7,2,0,0,0,0,3,6.17,3+,0.0,15.25,44.9,221.25,0.0,32,473.0,612.58,0.77,9.4,5.85,19.1,0.0689265536723163,,
8,8,NBA 2020-2021 Regular Season,22000001,12/22/2020,1627737,Marquese Chriss,F,Golden State,Brooklyn,R,0,12.43,4,10,1,3,0,0,3,5,8,1,2,0,0,0,9,30.38,3+,0.0,21.0,60.8,221.25,0.0,2,35.75,26.71,1.34,16.7,4.300000000000001,13.4,0.0949152542372881,,
9,9,NBA 2020-2021 Regular Season,22000001,12/22/2020,1629673,Jordan Poole,G,Golden State,Brooklyn,R,0,17.92,1,4,0,1,0,0,0,2,2,3,2,0,2,0,2,12.64,3+,0.0,8.0,16.1,221.25,0.0,15,137.5,143.45,0.96,17.2,-9.2,9.6,0.0361581920903954,,
10,10,NBA 2020-2021 Regular Season,22000001,12/22/2020,202954,Brad Wanamaker,G,Golden State,Brooklyn,R,0,21.67,0,2,0,1,3,4,0,1,1,3,2,0,1,0,3,8.29,3+,0.0,8.25,13.7,221.25,0.0,32,404.75,522.9399999999999,0.77,16.7,-8.45,16.3,0.0372881355932203,,
11,11,NBA 2020-2021 Regular Season,22000001,12/22/2020,1629308,Juan Toscano-Anderson,F,Golden State,Brooklyn,R,0,13.25,2,2,0,0,0,0,0,4,4,2,3,0,0,2,4,5.7,3+,0.0,16.0,43.5,221.25,0.67,18,320.75,388.51,0.83,11.0,5.0,21.6,0.0723163841807909,,
12,12,NBA 2020-2021 Regular Season,22000001,12/22/2020,1628539,Mychal Mulder,G,Golden State,Brooklyn,R,0,6.6,3,3,2,2,0,0,0,1,1,0,0,0,0,0,8,17.16,3+,0.0,10.25,55.9,221.25,0.07,30,227.0,333.05,0.68,4.5,5.75,11.1,0.0463276836158192,,
13,13,NBA 2020-2021 Regular Season,22000001,12/22/2020,203925,Joe Harris,G-F,Brooklyn,Golden State,H,1,20.77,4,8,2,5,0,0,2,5,7,2,2,0,2,1,10,18.33,3+,0.0,23.75,41.2,265.75,0.88,33,825.5,1027.11,0.8,16.6,7.149999999999999,31.1,0.0893697083725305,,
14,14,NBA 2020-2021 Regular Season,22000001,12/22/2020,201142,Kevin Durant,F,Brooklyn,Golden State,H,1,24.93,7,16,1,2,7,7,1,4,5,3,3,3,1,1,22,30.67,3+,0.0,40.75,58.8,265.75,0.95,19,959.75,679.51,1.41,35.2,5.549999999999997,35.8,0.1533396048918156,,
15,15,NBA 2020-2021 Regular Season,22000001,12/22/2020,201599,DeAndre Jordan,C,Brooklyn,Golden State,H,1,17.05,2,3,0,0,0,2,2,9,11,1,2,1,3,1,4,15.36,3+,0.0,21.75,45.9,265.75,0.74,31,688.25,695.34,0.99,16.9,4.850000000000001,22.4,0.0818438381937911,,
16,16,NBA 2020-2021 Regular Season,22000001,12/22/2020,203915,Spencer Dinwiddie,G,Brooklyn,Golden State,H,1,19.95,2,6,1,3,4,4,0,5,5,4,1,0,3,0,9,20.53,3+,0.0,20.25,36.5,265.75,1.0,3,54.25,64.33,0.84,16.8,3.4499999999999997,21.4,0.0761994355597366,,
17,17,NBA 2020-2021 Regular Season,22000001,12/22/2020,202681,Kyrie Irving,G,Brooklyn,Golden State,H,1,25.3,10,16,4,7,2,2,1,3,4,4,3,0,1,0,26,26.91,3+,0.0,38.5,54.8,265.75,1.0,23,1057.0,816.7199999999999,1.29,32.6,5.899999999999999,35.5,0.1448730009407337,,
18,18,NBA 2020-2021 Regular Season,22000001,12/22/2020,1628386,Jarrett Allen,C,Brooklyn,Golden State,H,0,19.62,2,3,0,0,4,5,3,4,7,2,0,1,2,2,8,13.97,3+,0.0,24.75,45.4,265.75,0.42,31,984.75,842.8700000000003,1.17,23.0,1.75,27.2,0.0931326434619002,,
19,19,NBA 2020-2021 Regular Season,22000001,12/22/2020,1629013,Landry Shamet,G,Brooklyn,Golden State,H,0,19.72,1,4,1,4,3,4,0,1,1,0,3,1,2,0,6,14.98,3+,0.0,8.75,16.0,265.75,0.0,29,364.75,542.58,0.67,13.2,-4.449999999999999,18.7,0.0329256820319849,,
20,20,NBA 2020-2021 Regular Season,22000001,12/22/2020,1627747,Caris LeVert,G,Brooklyn,Golden State,H,0,24.82,6,17,3,5,5,6,1,8,9,5,1,2,2,1,20,33.19,3+,0.0,45.25,65.6,265.75,0.33,12,440.0,333.67,1.32,32.8,12.450000000000005,27.8,0.1702728127939793,,
